CO2 Age (year AD)	CO2 (ppm)
1996	359.87
1994	357.24
1993	354.6
1992	353.89
1991	352.6
1991	352
1990	351.4
1989	349.92
1989	349.8
1988	347.8
1987	346.5
1987	345.3
1986	344.6
1986	343.9
1985	342.7
1983	341.45
1983	339.6
1979	335.5
1979	335.5
1979	332.4
1976	331.5
1976	332.6
1974	328.4
1973	330.4
1972	326.4
1972	326.5
1972	324.5
1971	325.5
1971	325
1970	325
1970	323.8
1969	324.1
1969	320.3
1968	322.3
1967	320.9
1967	320.4
1966	319.2
1966	319.9
1964	319.3
1964	318.9
1963	319.8
1963	317.3
1963	317.4
1963	319.1
1963	317.5
1962	317.2
1962	316.5
1961	311.9
1961	313
1959	316.5
1958	314.7
1958	314.2
1957	315.1
1957	316.45
1957	314.4
1957	314.5
1956	314.4
1956	315.4
1956	315.9
1955	314.6
1955	313.7
1955	314.9
1955	314.7
1954	313.1
1954	312.7
1954	311.6
1954	312.8
1953	312.3
1950	312
1950	313.7
1949	309.8
1949	310.4
1948	311.6
1948	311
1947	310.8
1947	313.3
1947	312.6
1947	310.3
1946	312.6
1945	311.4
1945	310.2
1944	311.8
1944	313.7
1944	312.4
1943	311.7
1943	312.2
1942	312.8
1942	312.1
1941	310.9
1941	311.9
1941	307.6
1940	309.7
1940	312
1939	311
1939	311.4
1939	306.7
1939	312.3
1939	308.4
1939	307.8
1938	308.5
1938	310.7
1938	312.4
1938	312.4
1937	306.9
1937	307.6
1936	309.5
1936	309.1
1936	307.1
1935	309.6
1935	306.2
1934	306.7
1934	306.6
1934	307.8
1933	305.8
1933	308.3
1933	308.2
1931	305.6
1931	305.6
1929	305.8
1929	305.7
1928	307.6
1928	308.4
1928	305.7
1926	305.5
1926	306.7
1926	303.7
1926	303.6
1926	302.2
1925	305.3
1925	304.6
1923	307.7
1923	306.1
1923	303.1
1923	307.8
1923	303.3
1920	301.7
1919	304.7
1918	303.3
1918	303.5
1918	303.9
1918	304.1
1916	301.9
1915	301.1
1915	300.4
1913	301.3
1911	298.3
1911	296.7
1911	298
1910	297.7
1909	301.6
1907	295.4
1906	297.2
1906	299.5
1906	298.9
1904	296.1
1902	295.3
1902	294.5
1902	297.1
1900	294.1
1899	297.1
1899	295.3
1897	293.3
1897	292
1897	291.8
1897	294.5
1897	294.7
1897	297.3
1897	291.9
1894	291.9
1894	293.9
1894	292.2
1893	293.9
1893	295.3
1893	295.2
1890	290.8
1889	292.5
1889	292.4
1888	294.3
1887	289.9
1887	290.4
1887	291.1
1886	288.2
1884	289.4
1884	289.9
1883	292.5
1880	287.6
1877	289.2
1874	291.6
1873	286.7
1870	286.2
1870	288
1869	288.8
1869	288.2
1868	288.1
1867	284.8
1867	285.5
1864	286.5
1863	285.5
1863	283
1862	287.2
1859	284.9
1859	286.8
1857	283
1855	283.3
1855	285.6
1854	288.1
1852	284
1851	285.5
1851	288.9
1851	283.9
1848	283.6
1847	286.8
1846	282.9
1846	284.5
1845	283
1845	283.4
1844	282
1844	280.8
1843	282.7
1842	282.8
1841	283.6
1838	282.6
1837	284.3
1833	284
1833	285.1
1827	285.9
1826	281.8
1825	281.5
1817	280.9
1814	284.6
1810	281.1
1799	284.4
1799	281.4
1796	279.4
1796	279.3
1796	282.3
1794	281.8
1780	273.2
1779	280.2
1775	277.7
1773	278
1764	276.5
1763	277.2
1760	276.6
1752	278
1752	276.6
1749	277.6
1746	275.4
1741	276.9
1734	278.4
1723	277.1
1723	278.3
1719	276.4
1710	276.3
1703	275
1694	277.4
1690	276.5
1682	276.7
1649	278
1640	276.8
1629	273.9
1609	271.2
1603	275.1
1591	279.4
1588	281.2
1573	282.5
1560	282
1550	283.5
1530	283.8
1502	283.1
1469	280.2
1449	282.4
1429	279.9
1411	279.8
1390	280.7
1390	281.1
1349	278.5
1330	284
1307	281.7
1278	278.6
1260	282.3
1251	282.3
1211	283.8
1200	284.4
1166	284.1
1146	284.4
1116	283
1099	283
1070	283
1049	281
1040	281
1019	280
1018	279.9
983	278.9
958	277.5
914	280.2
875	279.6
822	278.8
793	279.8
762	279.3
730	280.1
701	277.2
669	278.6
637	279.7
615	278
582	276.3
557	278.5
552	276.7
518	276.9
488	277.2
437	280.1
406	279.3
384	277.4
357	277.9
318	281.8
296	281
274	280.2
266	278.4
241	280.4
175	277.7
154	278.2
