  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally, Sta
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled,
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm],
1958,3,21259,  1958.2027,  315.71,   314.44,     316.20,   314.91,     315.71,   314.44, MLO
1958,4,21290,  1958.2877,  317.45,   315.16,     317.30,   314.99,     317.45,   315.16, MLO
1958,5,21320,  1958.3699,  317.51,   314.69,     317.89,   315.07,     317.51,   314.69, MLO
1958,6,21351,  1958.4548,  -99.99,   -99.99,     317.27,   315.15,     317.27,   315.15, MLO
1958,7,21381,  1958.5370,  315.87,   315.20,     315.86,   315.22,     315.87,   315.20, MLO
1958,8,21412,  1958.6219,  314.93,   316.21,     313.97,   315.29,     314.93,   316.21, MLO
1958,9,21443,  1958.7068,  313.21,   316.11,     312.44,   315.35,     313.21,   316.11, MLO
1958,10,21473,  1958.7890,  -99.99,   -99.99,     312.42,   315.41,     312.42,   315.41, MLO
1958,11,21504,  1958.8740,  313.33,   315.21,     313.61,   315.46,     313.33,   315.21, MLO
1958,12,21534,  1958.9562,  314.67,   315.43,     314.77,   315.52,     314.67,   315.43, MLO
1959,1,21565,  1959.0411,  315.58,   315.52,     315.64,   315.57,     315.58,   315.52, MLO
1959,2,21596,  1959.1260,  316.49,   315.84,     316.29,   315.64,     316.49,   315.84, MLO
1959,3,21624,  1959.2027,  316.65,   315.37,     316.99,   315.70,     316.65,   315.37, MLO
1959,4,21655,  1959.2877,  317.72,   315.42,     318.09,   315.77,     317.72,   315.42, MLO
1959,5,21685,  1959.3699,  318.29,   315.46,     318.68,   315.85,     318.29,   315.46, MLO
1959,6,21716,  1959.4548,  318.15,   316.00,     318.07,   315.94,     318.15,   316.00, MLO
1959,7,21746,  1959.5370,  316.54,   315.87,     316.67,   316.03,     316.54,   315.87, MLO
1959,8,21777,  1959.6219,  314.80,   316.09,     314.80,   316.13,     314.80,   316.09, MLO
1959,9,21808,  1959.7068,  313.84,   316.75,     313.30,   316.22,     313.84,   316.75, MLO
1959,10,21838,  1959.7890,  313.33,   316.34,     313.31,   316.31,     313.33,   316.34, MLO
1959,11,21869,  1959.8740,  314.81,   316.69,     314.53,   316.40,     314.81,   316.69, MLO
1959,12,21899,  1959.9562,  315.58,   316.35,     315.72,   316.48,     315.58,   316.35, MLO
1960,1,21930,  1960.0410,  316.43,   316.38,     316.62,   316.56,     316.43,   316.38, MLO
1960,2,21961,  1960.1257,  316.98,   316.33,     317.30,   316.64,     316.98,   316.33, MLO
1960,3,21990,  1960.2049,  317.58,   316.27,     318.03,   316.72,     317.58,   316.27, MLO
1960,4,22021,  1960.2896,  319.03,   316.70,     319.14,   316.79,     319.03,   316.70, MLO
1960,5,22051,  1960.3716,  320.03,   317.19,     319.70,   316.86,     320.03,   317.19, MLO
1960,6,22082,  1960.4563,  319.58,   317.45,     319.04,   316.93,     319.58,   317.45, MLO
1960,7,22112,  1960.5383,  318.18,   317.54,     317.59,   316.98,     318.18,   317.54, MLO
1960,8,22143,  1960.6230,  315.90,   317.22,     315.66,   317.02,     315.90,   317.22, MLO
1960,9,22174,  1960.7077,  314.17,   317.10,     314.10,   317.05,     314.17,   317.10, MLO
1960,10,22204,  1960.7896,  313.83,   316.85,     314.08,   317.08,     313.83,   316.85, MLO
1960,11,22235,  1960.8743,  315.00,   316.89,     315.25,   317.11,     315.00,   316.89, MLO
